,Country,HS4,Trade Value Relatedness
357,Nigeria,Bananas,0.0784178093
358,Nigeria,Dried Legumes,0.0781676487
359,Nigeria,Raw Sugar,0.0762173019
360,South Sudan,Petroleum Gas,0.0160556922
361,South Sudan,Raw Cotton,0.0156039451
362,South Sudan,Cocoa Beans,0.0153198713
363,South Sudan,Other Oily Seeds,0.0151606933
364,South Sudan,Wool,0.0147600223
365,South Sudan,Chromium Ore,0.0143276422
366,South Sudan,Manganese Ore,0.0141582797
367,South Sudan,Non-fillet Frozen Fish,0.0137708856
368,South Sudan,Dried Legumes,0.0135454508
369,South Sudan,Rough Wood,0.0134637039
370,South Africa,Raw Cotton,0.2535647238
371,South Africa,Crude Petroleum,0.2475527588
372,South Africa,Petroleum Gas,0.2468936211
373,South Africa,Dried Legumes,0.2360919299
374,South Africa,Pharmaceutical Animal Products,0.2346321596
375,South Africa,Copper Ore,0.2339188333
376,South Africa,Other Oily Seeds,0.2330402296
377,South Africa,Cocoa Beans,0.2327417811
378,South Africa,Nickel Mattes,0.2308866813
379,South Africa,Rough Wood,0.2262066501
380,Sierra Leone,Coconut Oil,0.0692156297
381,Sierra Leone,Tin Ores,0.0628814644
382,Sierra Leone,Rubber,0.0623578352
383,Sierra Leone,Manganese Ore,0.0613220036
384,Sierra Leone,Gold,0.0609878834
385,Sierra Leone,"Coconuts, Brazil Nuts, and Cashews",0.0577452189
386,Sierra Leone,Bananas,0.0549461137
387,Sierra Leone,Crustaceans,0.0544191726
388,Sierra Leone,Bran,0.0542287772
389,Sierra Leone,Fish Fillets,0.054123116
390,Seychelles,Crustaceans,0.0598699267
391,Seychelles,Scrap Vessels,0.0551097946
392,Seychelles,Crude Petroleum,0.0542678983
393,Seychelles,Molluscs,0.052059148
394,Seychelles,Processed Fish,0.051987688
395,Seychelles,Tropical Fruits,0.0505919225
396,Seychelles,Cocoa Beans,0.0505765227
397,Seychelles,Gold,0.0504340315
398,Seychelles,Palm Oil,0.0501436691
399,Seychelles,Hard Liquor,0.0484734318
400,Togo,Bananas,0.1501979463
401,Togo,Insect Resins,0.1493564192
402,Togo,Molasses,0.1481943126
403,Togo,Crustaceans,0.1466852568
404,Togo,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.1448178533
405,Togo,Non-fillet Frozen Fish,0.1447423813
406,Togo,Dried Legumes,0.14289597
407,Togo,Crude Petroleum,0.1428188344
408,Togo,Raw Tobacco,0.1425287908
409,Togo,Other Processed Fruits and Nuts,0.1409060373
410,Eswatini,Knit Sweaters,0.1206813699
411,Eswatini,Molasses,0.1192540676
412,Eswatini,Other Knit Garments,0.1190177878
413,Eswatini,Crustaceans,0.1190170422
414,Eswatini,Knit Men's Undergarments,0.1182094547
415,Eswatini,Wheat Flours,0.1167141995
416,Eswatini,Gold,0.1166554478
417,Eswatini,Cocoa Beans,0.1163128998
418,Eswatini,Non-fillet Frozen Fish,0.1148406238
419,Eswatini,Soap,0.1137131176
420,Tanzania,Insect Resins,0.1927238776
421,Tanzania,Other Ores,0.1861511911
422,Tanzania,Palm Oil,0.1769706276
423,Tanzania,Crustaceans,0.1730515262
424,Tanzania,Raw Sugar,0.1721929944
425,Tanzania,Bananas,0.1677520801
426,Tanzania,Pepper,0.1645716989
427,Tanzania,Maté,0.1590502791
428,Tanzania,Wool,0.1551176272
429,Tanzania,"Locust beans, seaweed, sugar beet, cane, for food",0.1501725301
430,Sudan,Manganese Ore,0.073428992
431,Sudan,Cocoa Beans,0.0733596651
432,Sudan,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.0706319493
433,Sudan,Tropical Fruits,0.0689098111
434,Sudan,Other Hides and Skins,0.0663220045
435,Sudan,Maté,0.0650509255
